DF_Model,Expt,Source,TC,Pkb,Titanite,Rutile,SiO2,Al2O3,Na2O,K2O,CaO,FeO,MgO,TiO2
N,HL220-100,LEPR,1150,0.001,Y,N,59.56,9.18,12.13,1.15,8.9,0,0,8.74
N,HL220-1500,LEPR,1150,0.001,Y,N,59.71,9.18,12.07,1.18,8.72,0,0,8.59
N,HL220-15000,LEPR,1150,0.001,Y,N,58.37,8.77,11.45,1.13,8.75,0,0,8.3
N,HL220-25,LEPR,1150,0.001,Y,N,59.62,9.32,12.01,1.14,8.82,0,0,8.64
N,HL220-250,LEPR,1150,0.001,Y,N,59.2,8.86,11.99,1.11,9.33,0,0,9.12
N,HL220-2500,LEPR,1150,0.001,Y,N,59.78,9.1,11.99,1.12,8.81,0,0,8.59
N,HL220-40000,LEPR,1150,0.001,Y,N,57.22,8.68,11.4,1.05,8.54,0,0,7.64
N,HL220-50,LEPR,1150,0.001,Y,N,59.31,9,12.16,1.14,8.97,0,0,8.86
N,HL220-5000,LEPR,1150,0.001,Y,N,59.64,9.36,11.91,1.11,8.59,0,0,8.08
N,HL220-60000,LEPR,1150,0.001,Y,N,55.51,7.3,10.13,1.03,9.38,0,0,7.11
N,HL220-75000,LEPR,1150,0.001,Y,N,54.98,7.98,10.73,0.98,8.94,0,0,7.21
N,HL220-without,LEPR,1150,0.001,Y,N,59.82,9.41,11.98,1.14,8.62,0,0,8.47
N,HL22REE-200,LEPR,1150,0.001,Y,N,59.88,9.28,11.84,0,8.67,0,0,8.48
N,HL22REE-2000,LEPR,1150,0.001,Y,N,58.66,8.87,11.74,0,8.63,0,0,8.14
N,HL22REE-8000,LEPR,1150,0.001,Y,N,54.32,8.26,11.14,0,8.59,0,0,7.5
N,HL240-100,LEPR,1150,0.001,Y,N,62.55,15.75,10.65,1.48,5.69,0,0,3.88
N,HL240-2000,LEPR,1150,0.001,Y,N,63.21,15.71,10.38,1.38,5.49,0,0,3.55
N,HL240-20000,LEPR,1150,0.001,Y,N,61.57,14.71,10.75,1.42,6.38,0,0,3.96
N,HL240-250,LEPR,1150,0.001,Y,N,62.7,15.5,10.55,1.48,5.76,0,0,3.94
N,HL240-45000,LEPR,1150,0.001,Y,N,59.86,13.26,9.41,1.13,7.63,0,0,4.16
N,HL240-500,LEPR,1150,0.001,Y,N,63.43,15.83,10.33,1.38,5.43,0,0,3.45
N,HL240-5000,LEPR,1150,0.001,Y,N,63.01,15.55,9.67,1.42,5.95,0,0,3.83
N,ND-002-18,LEPR,752,1.519999951,Y,N,76.80999756,11.82999992,4.570000172,4.78000021,0.310000002,1.309999943,0.039999999,0.07
N,ND-002-20,LEPR,752,1.519999951,Y,N,76.76000214,11.53999996,4.360000134,4.840000153,0.280000001,1.49000001,0.039999999,0.039999999
N,RHY ,LEPR,1150,0.001,Y,N,67.22,13.81,5.58,4.57,5.6,0,0,2.1
N,SH2K,LEPR,1150,0.001,Y,N,58.95,7.05,0.59,14.42,9.93,0,0,6.6
N,SH2Na,LEPR,1150,0.001,Y,N,61.26,7.59,11.11,0.49,10.39,0,0,7.38
N,SpDis_1,Dissolution,1300,6,Y,?,67.63,11.27,2.43,4.02,2.29,1.14,0.08,11.03
Y,SpDis_10,Dissolution,1100,8,Y,?,76,12.89,2.33,4.22,2.07,0.02,0.07,2.4
Y,SpDis_11,Dissolution,1100,8,Y,?,75.39,12.66,2.31,4.43,2.45,0.01,0.07,2.65
Y,SpDis_12,Dissolution,1200,8,Y,?,73.85,12.05,3.71,4.42,1.92,0.99,0.08,3.74
Y,SpDis_13,Dissolution,1200,8,Y,?,74.81,12.41,3.54,4.65,1.77,0.02,0.08,3.25
Y,SpDis_15,Dissolution,1200,8,Y,?,69.92,11.69,4.96,3.89,4.18,0.01,0.07,5.25
Y,SpDis_16,Dissolution,1000,8,Y,?,76.37,13.08,2.27,4.26,2.41,0.02,0.08,1.4
Y,SpDis_17,Dissolution,1000,8,Y,?,68.17,11.87,4.08,3.55,0.88,0.01,0.06,0.81
Y,SpDis_18,Dissolution,925,8,Y,?,77.67,13.59,2.51,4.69,0.72,0.02,0.07,0.55
N,SpDis_2,Dissolution,1300,8,Y,?,73.05,11.15,1.97,3.55,4.95,0.09,0.1,7.88
Y,SpDis_21,Dissolution,1000,8,Y,?,76.33,12.83,3.33,4.8,1.14,0.02,0.07,1.48
Y,SpDis_3,Dissolution,1300,8,Y,?,62.32,9.31,2.63,3.11,9.39,0.03,0.1,13.52
N,SpDis_4,Dissolution,1300,8,Y,?,74.44,12.56,2.79,4.42,2.83,0.02,0.06,2.83
Y,SpDis_7,Dissolution,1100,8,Y,?,76.1,12.79,3.44,4.55,1.05,0.74,0.07,1.31
Y,SpG_10,Growth,1000,5,Y,N,72.8,13.09,2.65,5.29,2.76,0.02,0.33,3.03
Y,SpG_11,Growth,800,5,Y,N,74.56,13.65,2.69,6.98,1.15,0.04,0.34,0.54
Y,SpG_12,Growth,800,5,Y,N,71.82,14.7,3.71,5.03,2.55,0.03,0.67,1.29
Y,SpG_15,Growth,800,5,Y,N,73.44,15.44,3.1,4.46,2.15,0.51,0.25,0.32
Y,SpG_16,Growth,800,5,Y,N,70.45,17.35,4.13,3.64,2.64,0.72,0.38,0.33
Y,SpG_17,Growth,900,5,Y,N,68.66,15.8,2.93,5.55,3.68,0.05,1.01,2.04
Y,SpG_18,Growth,900,5,Y,Y,65.53,16.95,3.67,4.37,5.24,0.05,1.43,2.36
Y,SpG_19,Growth,1000,5,Y,Y,67.47,15.2,2.82,5.44,4.6,0.03,0.96,3.19
Y,SpG_20,Growth,1000,5,Y,Y,64.22,16.45,3.55,4.26,6.05,0.03,1.39,3.64
Y,SpG_23,Growth,900,5,Y,N,72.47,14.8,2.47,5.01,2.72,0.02,0.69,1.67
Y,SpG_28,Growth,900,5,Y,Y,63.62,16.09,3.37,4.23,6.58,0.02,1.34,4.35
Y,SpG_29,Growth,1000,5,Y,N,66.21,15.81,3.14,5.29,3.61,3.19,0.82,1.66
Y,SpG_30,Growth,1000,5,Y,N,65.52,16.62,3.66,4.81,3.78,3.31,0.51,1.32
Y,SpG_32,Growth,900,5,Y,Y,69.56,16,2.9,5.95,2.75,0.69,0.88,1.02
Y,SpG_33,Growth,1000,10,Y,Y,68.29,15.62,2.98,5.53,4.06,0.04,1,2.21
Y,SpG_34,Growth,1000,10,Y,N,65.51,16.78,3.57,4.44,5.34,0.06,1.41,2.49
Y,SpG_7,Growth,900,5,Y,N,73.94,13.49,2.5,6.99,1.28,0.62,0.29,0.8
Y,SpG_8,Growth,900,5,Y,N,71.32,14.36,2.73,6,2.34,1.29,0.62,1.13
N,SpG13,Growth,1100,5,N,N,70.574,12.574,3.968,5.212,3.407,0.022,0.311,3.629
N,SpG14,Growth,1100,5,N,N,69.8,13.877,2.41,4.622,4.357,0.015,0.628,4.115
N,SpG21,Growth,1100,5,N,N,66.416,14.94,2.718,5.275,5.041,0.019,0.963,4.281
N,SpG22,Growth,1100,5,N,N,63.361,16.103,3.453,4.141,6.525,0.015,1.362,4.601
N,SpG24,Growth,900,5,N,N,73.275,13.422,2.437,6.651,1.922,0.319,0.213,1.73
N,SpG27,Growth,900,5,N,Y,65.774,15.091,3.117,5.109,5.031,0.027,0.941,4.463
N,SpG31,Growth,900,5,N,N,68.418,17.771,2.594,5.986,2.098,0.803,0.319,1.926
