Index,Experiment,Citation,Laboratory,Device,Container,Duration_h,T_C,P_Gpa,fO2,Phases,Type,SiO2_Bulk,TiO2_Bulk,Al2O3_Bulk,Fe2O3_Bulk,FeO_Bulk,MgO_Bulk,CaO_Bulk,Na2O_Bulk,K2O_Bulk
33,11,"Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. 10.1093/petrology/egh077",University of Kobe,CSPV,"Au,AgPd",168,775,0.300000012,NNO,plag+amph+ilm+bi+liq+fl,Bulk,58.59000015,0.589999974,14.02999973,,2.230000019,4.329999924,4.599999905,3.109999895,2.24000001
34,12,"Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. 10.1093/petrology/egh077",University of Kobe,CSPV,"Au,AgPd",168,775,0.300000012,NNO,plag+amph+ilm+liq+fl,Bulk,58.59000015,0.589999974,14.02999973,4.21999979,2.230000019,4.329999924,4.599999905,3.109999895,2.24000001
346,ND-002-3,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,788,0.156000003,NNO-1.37,liq+kfs+qz+cpx+ox,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
347,ND-002-7,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,738,0.160999998,NNO-1.14,liq+kfs+qz+cpx,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
350,ND-002-10,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,794,0.050000001,NNO-1.48,liq+cpx+ox,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
351,ND-002-11,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,794,0.050000001,NNO-1.67,liq+kfs+ox,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
352,ND-002-15,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,794,0.155000001,NNO-4.06,liq+kfs+ox,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
353,ND-002-16,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,794,0.155000001,NNO-3.93,liq+kfs+qz+cpx+ox+fl,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
354,ND-002-17,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,752,0.151999995,NNO-4.29,liq+ox+chevk+tit,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
355,ND-002-18,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,752,0.151999995,NNO-4.19,liq+kfs+cpx+ox+chevk+tit,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
356,ND-002-19,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,752,0.151999995,NNO-4.1,liq+kfs+cpx+ox+chevk+tit,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
357,ND-002-20,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,752,0.151999995,NNO-3.96,liq+kfs+qz+cpx+ox+chevk+tit,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
358,ND-002-21,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,752,0.151999995,NNO-3.86,liq+kfs+qz+cpx+ox+fl,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
359,ND-002-22,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,788,0.149000004,NNO-1.8,liq+kfs+qz+cpx+ox,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
363,ND-002-28,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,790,0.052000001,NNO-1.82,liq+kfs+cpx+ox,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
364,ND-002-29,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,790,0.052000001,NNO-1.94,liq+kfs+qz+cpx+ox,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
365,ND-002-30,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,790,0.052000001,NNO-2.11,liq+kfs+qz+cpx+ox,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
367,ND-002-34,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,756,0.057,NNO-1.36,liq+kfs+cpx+ox,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
368,ND-002-35,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,756,0.057,NNO-1.54,liq+kfs+qz+cpx+ox,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
369,ND-002-38,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,784,0.150000006,NNO-2.35,liq+kfs+qz+ox+fl,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
370,ND-002-42,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,758,0.151999995,NNO-3.13,liq+kfs+qz+amph+ol+ox+fl,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
371,ND-002-43,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,729,0.151999995,NNO-3.2,liq+kfs+qz+ol+ox+bi+fl,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
372,ND-002-44,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,773,0.151999995,NNO-3.1,liq+kfs+qz+amph+ol+ox+bi+fl,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
374,BL-575-21,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,757,0.151999995,NNO-3.04,liq+kfs+qz+ox+fl,Bulk,72.63999939,0.180000007,10.30000019,1.389999986,4,0.039999999,0.100000001,5.679999828,4.349999905
375,BL-575-22,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,788,0.149000004,NNO-1.86,liq+qz+ox,Bulk,72.63999939,0.180000007,10.30000019,1.389999986,4,0.039999999,0.100000001,5.679999828,4.349999905
376,BL-575-23,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,791,0.149000004,NNO-2.06,liq+kfs+qz,Bulk,72.63999939,0.180000007,10.30000019,1.389999986,4,0.039999999,0.100000001,5.679999828,4.349999905
377,BL-575-24,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,791,0.149000004,NNO-2.3,liq+kfs+qz,Bulk,72.63999939,0.180000007,10.30000019,1.389999986,4,0.039999999,0.100000001,5.679999828,4.349999905
378,BL-575-25,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,703,0.155000001,NNO-3.39,liq+ox,Bulk,72.63999939,0.180000007,10.30000019,1.389999986,4,0.039999999,0.100000001,5.679999828,4.349999905
379,BL-575-26,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,703,0.155000001,NNO-3.27,liq+ox,Bulk,72.63999939,0.180000007,10.30000019,1.389999986,4,0.039999999,0.100000001,5.679999828,4.349999905
380,BL-575-27,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,703,0.155000001,NNO-3.17,liq+kfs+qz+ox,Bulk,72.63999939,0.180000007,10.30000019,1.389999986,4,0.039999999,0.100000001,5.679999828,4.349999905
381,BL-575-28,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,703,0.155000001,NNO-3.04,liq+kfs+qz+ox,Bulk,72.63999939,0.180000007,10.30000019,1.389999986,4,0.039999999,0.100000001,5.679999828,4.349999905
382,BL-575-29,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,703,0.155000001,NNO-2.93,liq+kfs+qz+ox,Bulk,72.63999939,0.180000007,10.30000019,1.389999986,4,0.039999999,0.100000001,5.679999828,4.349999905
389,BL-575-42,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,786,0.140000001,NNO-3.71,liq+kfs+qz+ox+fl,Bulk,72.63999939,0.180000007,10.30000019,1.389999986,4,0.039999999,0.100000001,5.679999828,4.349999905
390,BL-575-43,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,786,0.140000001,NNO-3.48,liq+kfs+qz+ox+fl,Bulk,72.63999939,0.180000007,10.30000019,1.389999986,4,0.039999999,0.100000001,5.679999828,4.349999905
392,BL-575-45,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,737,0.057,NNO-1.59,liq+kfs+qz+ox,Bulk,72.63999939,0.180000007,10.30000019,1.389999986,4,0.039999999,0.100000001,5.679999828,4.349999905
393,BL-575-46,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,737,0.057,NNO-1.87,liq+kfs+qz,Bulk,72.63999939,0.180000007,10.30000019,1.389999986,4,0.039999999,0.100000001,5.679999828,4.349999905
395,BL-575-48,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,702,0.150999993,NNO-1.94,liq+kfs+qz+amph,Bulk,72.63999939,0.180000007,10.30000019,1.389999986,4,0.039999999,0.100000001,5.679999828,4.349999905
396,BL-575-50,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,702,0.150999993,NNO-2.56,liq+kfs+qz+amph,Bulk,72.63999939,0.180000007,10.30000019,1.389999986,4,0.039999999,0.100000001,5.679999828,4.349999905
397,BL-575-51,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,784,0.150000006,NNO-2.35,liq+kfs+qz+ox+fl,Bulk,72.63999939,0.180000007,10.30000019,1.389999986,4,0.039999999,0.100000001,5.679999828,4.349999905
399,BL-575-56,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,758,0.151999995,NNO-3.13,liq+kfs+qz+fl,Bulk,72.63999939,0.180000007,10.30000019,1.389999986,4,0.039999999,0.100000001,5.679999828,4.349999905
400,BL-575-57,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,729,0.151999995,NNO-3.2,liq+kfs+qz+amph+fl,Bulk,72.63999939,0.180000007,10.30000019,1.389999986,4,0.039999999,0.100000001,5.679999828,4.349999905
401,BL-575-58,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,773,0.151999995,NNO-3.1,liq+kfs+qz,Bulk,72.63999939,0.180000007,10.30000019,1.389999986,4,0.039999999,0.100000001,5.679999828,4.349999905
402,SMN-49-7,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,744,0.160999998,NNO-1.13,liq+qz,Bulk,74.16999817,0.170000002,10.89000034,1.980000019,3.980000019,,0.289999992,5.809999943,4.340000153
403,SMN-49-9,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,703,0.148000002,NNO-1.2,liq+qz,Bulk,74.16999817,0.170000002,10.89000034,1.980000019,3.980000019,,0.289999992,5.809999943,4.340000153
404,SMN-49-16,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,775,0.155000001,NNO-3.64,liq+kfs+qz+chevk+tit,Bulk,74.16999817,0.170000002,10.89000034,1.980000019,3.980000019,,0.289999992,5.809999943,4.340000153
405,SMN-49-17,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,725,0.151999995,NNO-4.05,liq+kfs+ox,Bulk,74.16999817,0.170000002,10.89000034,1.980000019,3.980000019,,0.289999992,5.809999943,4.340000153
406,SMN-49-18,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,725,0.151999995,NNO-3.94,liq+ox+chevk+tit,Bulk,74.16999817,0.170000002,10.89000034,1.980000019,3.980000019,,0.289999992,5.809999943,4.340000153
407,SMN-49-19,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,725,0.151999995,NNO-3.85,liq+qz+ox,Bulk,74.16999817,0.170000002,10.89000034,1.980000019,3.980000019,,0.289999992,5.809999943,4.340000153
408,SMN-49-20,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,725,0.151999995,NNO-3.72,liq+qz+ox+chevk+tit,Bulk,74.16999817,0.170000002,10.89000034,1.980000019,3.980000019,,0.289999992,5.809999943,4.340000153
409,SMN-49-21,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,725,0.151999995,NNO-3.65,liq+kfs+qz+ox,Bulk,74.16999817,0.170000002,10.89000034,1.980000019,3.980000019,,0.289999992,5.809999943,4.340000153
410,SMN-49-22,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,796,0.149000004,NNO-1.79,liq+qz,Bulk,74.16999817,0.170000002,10.89000034,1.980000019,3.980000019,,0.289999992,5.809999943,4.340000153
411,SMN-49-23,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,796,0.149000004,NNO-1.98,liq+kfs+qz,Bulk,74.16999817,0.170000002,10.89000034,1.980000019,3.980000019,,0.289999992,5.809999943,4.340000153
421,SMN-49-39,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,786,0.140000001,NNO-3.29,liq+kfs+qz,Bulk,74.16999817,0.170000002,10.89000034,1.980000019,3.980000019,,0.289999992,5.809999943,4.340000153
422,SMN-49-40,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,786,0.140000001,NNO-2.83,liq+kfs+qz+bi,Bulk,74.16999817,0.170000002,10.89000034,1.980000019,3.980000019,,0.289999992,5.809999943,4.340000153
423,SMN-49-42,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,732,0.057,NNO-1.56,liq+kfs+qz,Bulk,74.16999817,0.170000002,10.89000034,1.980000019,3.980000019,,0.289999992,5.809999943,4.340000153
424,SMN-49-43,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,732,0.057,NNO-1.88,liq+kfs+qz,Bulk,74.16999817,0.170000002,10.89000034,1.980000019,3.980000019,,0.289999992,5.809999943,4.340000153
426,SMN-49-45,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,702,0.150999993,NNO-1.96,liq+kfs+qz,Bulk,74.16999817,0.170000002,10.89000034,1.980000019,3.980000019,,0.289999992,5.809999943,4.340000153
427,SMN-49-46,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,702,0.150999993,NNO-2.14,liq+kfs+qz+ox,Bulk,74.16999817,0.170000002,10.89000034,1.980000019,3.980000019,,0.289999992,5.809999943,4.340000153
428,SMN-49-48,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,784,0.150000006,NNO-2.16,liq+kfs+qz+cpx+ox+fl,Bulk,74.16999817,0.170000002,10.89000034,1.980000019,3.980000019,,0.289999992,5.809999943,4.340000153
429,SMN-49-52,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,731,0.150000006,,liq+qz+bi,Bulk,74.16999817,0.170000002,10.89000034,1.980000019,3.980000019,,0.289999992,5.809999943,4.340000153
430,SMN-49-53,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,731,0.150000006,,liq+kfs+qz+bi,Bulk,74.16999817,0.170000002,10.89000034,1.980000019,3.980000019,,0.289999992,5.809999943,4.340000153
431,SMN-49-54,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,731,0.150000006,NNO-.09,liq+kfs+qz+amph+fl,Bulk,74.16999817,0.170000002,10.89000034,1.980000019,3.980000019,,0.289999992,5.809999943,4.340000153
433,SMN-49-58,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,758,0.151999995,NNO-3.13,liq+kfs+qz+fl,Bulk,74.16999817,0.170000002,10.89000034,1.980000019,3.980000019,,0.289999992,5.809999943,4.340000153
434,SMN-49-59,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,729,0.151999995,NNO-3.2,liq+kfs+qz+amph+fl,Bulk,74.16999817,0.170000002,10.89000034,1.980000019,3.980000019,,0.289999992,5.809999943,4.340000153
435,SMN-49-60,"Scaillet, B., MacDonald, R. (2003) Experimental constraints on the relationships between peralkaline rhyolites of the Kenya rift valley. Journal of Petrology 44 1867-1894. 10.1093/petrology/egg062","Orleans, France",CSPV,Au,,773,0.151999995,NNO-3.1,liq+kfs+qz,Bulk,74.16999817,0.170000002,10.89000034,1.980000019,3.980000019,,0.289999992,5.809999943,4.340000153
436,ND-002-1,"Scaillet, B., MacDonald, R. (2001) Phase relations of peralkaline silicic magmas and petrogenetic implications. Journal of Petrology 42 825-845. ","Orleans, France",CSPV,Au,255,797,0.153999999,NNO-1.19,liq,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
437,ND-002-2,"Scaillet, B., MacDonald, R. (2001) Phase relations of peralkaline silicic magmas and petrogenetic implications. Journal of Petrology 42 825-845. ","Orleans, France",CSPV,Au,378,788,0.155599996,NNO-1.26,liq,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
438,ND-002-3,"Scaillet, B., MacDonald, R. (2001) Phase relations of peralkaline silicic magmas and petrogenetic implications. Journal of Petrology 42 825-845. ","Orleans, France",CSPV,Au,378,788,0.155599996,NNO-1.37,liq+kfs+qz+cpx+ox,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
439,ND-002-4,"Scaillet, B., MacDonald, R. (2001) Phase relations of peralkaline silicic magmas and petrogenetic implications. Journal of Petrology 42 825-845. ","Orleans, France",CSPV,Au,354,788,0.1505,NNO-1.4,liq+kfs+qz+cpx+ol+ox,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
440,ND-002-5,"Scaillet, B., MacDonald, R. (2001) Phase relations of peralkaline silicic magmas and petrogenetic implications. Journal of Petrology 42 825-845. ","Orleans, France",CSPV,Au,354,788,0.1505,NNO-1.56,liq+kfs+qz+cpx+ol+ox,Bulk,75.19999695,0.170000002,12.10999966,0.829999983,1.809999943,0.07,0.439999998,4.590000153,4.730000019
