"","Source","Expt","TiO2","CaO","M","FM","A_CNK","A_NK","A_C","TK","TiO2sat","TiO2satSD"
"1","LEPR","1044A",2.32,7.35,2.35639362899353,3.88076976397083,0.75632707397332,2.16337143881313,1.16287476864403,1273.15,2.53500239959392,1.37522289733565
"2","LEPR","1044BA",2.85,9.96,2.70674304064559,5.00673545948311,0.703825583141659,3.90240185257019,0.858697754307114,1273.15,2.81295033327425,1.52600790752955
"3","LEPR","1044T",1.73,2.65,2.06440450132453,2.67193246182132,0.816014627533021,1.10047830195622,3.15684030131388,1273.15,2.30335430202748,1.24955525775131
"4","LEPR","1045A",1.9,6.66,2.09859718586393,3.37198752035046,0.833350852383165,2.22124868875581,1.33372892414585,1273.15,2.33048089536153,1.26427126444451
"5","LEPR","1045BA",2.7,9.4,2.53668652912107,4.66973544557066,0.748462594971466,3.86880822205006,0.92799278906599,1273.15,2.67803685999555,1.45281819471442
"6","LEPR","1045T",1.61,2.64,2.06290545247332,2.63895557688257,0.816737029004339,1.09760673407332,3.19171504374965,1273.15,2.30216503920351,1.24891009013066
"7","LEPR","1046A",1.45,5.96,1.88303657655365,3.10753336916998,0.917615190285447,2.29871219655845,1.52728824990263,1223.15,1.62058183731193,0.879155479314201
"8","LEPR","1046BA",1.68,8.79,2.15248677535033,3.93871865410158,0.86115933528589,4.32933753349697,1.0749878522671,1223.15,1.83434878965854,0.995122709801957
"9","LEPR","1046T",1.31,2.26,1.91975489532261,2.54970151873036,0.872484190962034,1.13456435474316,3.77704839947046,1223.15,1.64971212978744,0.894958480220562
"10","LEPR","1056A",2.17,7.83,2.44057944440272,3.79965913922214,0.722601605528505,2.1217239494716,1.09580204977329,1273.15,2.60179079044019,1.41145518034363
"11","LEPR","1056BA",2.74,10.58,2.7688520304716,4.60578691314141,0.665199054520907,3.73340515171812,0.809416805257965,1273.15,2.86222418620783,1.55273866360499
"12","LEPR","1056T",1.81,2.83,2.02993187447509,2.55578893912235,0.825760780418893,1.13649386550183,3.02018711997655,1273.15,2.2760056178777,1.23471876818396
"13","LEPR","ASI220",8.2,8.49,7.18369801408545,7.18369801408545,0.257608898774364,0.447889345149987,0.606369614821547,1423.15,7.98137533403857,4.32984604407399
"14","LEPR","ASI240",4.33,6.05,3.75394692822262,3.75394692822262,0.481469824025023,0.754950139874361,1.32911105453463,1423.15,5.26039965761821,2.85373381084453
