"","Expt","TiO2MELTS","TiO2ThisStudy"
"1","SpG_17",1.271,2.04
"2","SpG_29",3.402,1.66
"3","SpG_15",0.593,0.68
"4","SpG_18",1.124,2.36
"5","SpG_16",0.498,0.56
"6","SpG_28",0.948,4.35
"7","SpG_11",0.578,0.54
"8","SpG_23",1.413,1.67
"9","SpG_7",1.316,0.8
"10","SpG_12",0.606,1.29
"11","SpG_8",1.33,1.13
"12","SpG_33",NA,2.21
"13","SpG_20",NA,3.64
"14","SpG_34",NA,2.49
"15","SpG_32",NA,1.02
"16","SpG_10",NA,3.03
"17","SpG_19",NA,3.19
"18","SpG_30",NA,1.32
