Expt,x,SiO2,Al2O3,Na2O,K2O,CaO,FeO,MgO,TiO2,MnO,P2O5
SpDis17,448.2,77.79,13.39,2.65,4.72,0.94,0.01,0.06,0.39,0.05,0.00
SpDis17,459.7,77.79,13.40,2.73,4.73,0.91,0.02,0.09,0.33,0.00,0.00
SpDis17,471.2,78.02,13.27,2.65,4.63,0.88,0.01,0.10,0.34,0.10,0.00
SpDis17,482.7,77.92,13.36,2.70,4.63,0.96,0.00,0.09,0.31,0.03,0.00
SpDis17,494.2,77.83,13.34,2.83,4.73,0.89,0.02,0.06,0.28,0.01,0.01
SpDis17,505.7,77.85,13.36,2.70,4.74,0.90,0.00,0.10,0.31,0.04,0.00
SpDis17,517.2,77.76,13.36,2.76,4.76,0.91,0.00,0.08,0.33,0.04,0.00
SpDis17,528.7,77.73,13.33,2.76,4.77,0.90,0.00,0.10,0.35,0.06,0.00
SpDis17,540.2,77.63,13.53,2.78,4.70,0.89,0.00,0.03,0.34,0.06,0.04
SpDis17,551.7,77.63,13.41,2.87,4.70,0.93,0.01,0.08,0.33,0.02,0.02
SpDis17,563.2,77.74,13.41,2.76,4.73,0.92,0.00,0.07,0.31,0.06,0.00
SpDis17,574.7,77.69,13.39,2.79,4.65,0.94,0.01,0.09,0.35,0.07,0.02
SpDis18,359.0,77.89,13.19,3.11,4.78,0.65,0.05,0.06,0.21,0.06,0.00
SpDis18,352.5,77.69,13.26,3.06,4.94,0.63,0.06,0.09,0.20,0.07,0.00
SpDis18,346.0,77.70,13.34,3.09,4.91,0.70,0.00,0.04,0.21,0.00,0.01
SpDis18,339.5,77.76,13.30,3.08,4.89,0.68,0.03,0.06,0.20,0.00,0.00
SpDis18,333.0,77.91,13.12,3.04,4.89,0.71,0.00,0.10,0.19,0.04,0.00
SpDis18,326.5,77.79,13.30,2.96,4.87,0.69,0.00,0.01,0.28,0.08,0.02
SpDis18,320.0,77.84,13.25,2.99,4.90,0.68,0.00,0.07,0.22,0.05,0.00
SpDis18,313.5,77.73,13.22,3.14,4.91,0.71,0.02,0.01,0.18,0.07,0.01
SpDis18,307.0,77.72,13.32,3.06,4.90,0.69,0.00,0.03,0.21,0.06,0.01
SpDis18,300.5,77.80,13.38,3.06,4.86,0.65,0.02,0.06,0.16,0.01,0.00
SpDis18,294.0,77.85,13.29,3.13,4.80,0.63,0.00,0.07,0.18,0.05,0.00
SpDis18,287.5,77.72,13.23,3.17,4.83,0.69,0.05,0.08,0.19,0.00,0.04
SpDis18,281.0,77.66,13.34,3.06,4.85,0.68,0.10,0.06,0.21,0.04,0.00
SpDis18,274.5,77.56,13.30,3.11,4.87,0.66,0.10,0.10,0.26,0.04,0.00
SpDis18,268.0,77.76,13.23,3.07,4.90,0.67,0.00,0.10,0.20,0.07,0.00
SpDis18,261.5,77.77,13.31,3.03,4.84,0.67,0.01,0.06,0.28,0.03,0.00
SpDis18,255.0,77.65,13.30,3.11,4.90,0.66,0.00,0.08,0.22,0.04,0.04
SpDis18,248.5,77.73,13.29,3.05,4.86,0.73,0.00,0.05,0.26,0.02,0.01
SpDis18,242.0,77.84,13.30,3.11,4.87,0.67,0.01,0.06,0.14,0.00,0.00
SpDis18,235.5,77.75,13.16,3.09,4.92,0.68,0.00,0.12,0.28,0.00,0.00
SpDis18,229.0,77.69,13.20,3.10,4.88,0.65,0.10,0.05,0.29,0.00,0.04
SpDis18,222.5,77.74,13.26,3.00,4.86,0.66,0.01,0.09,0.24,0.11,0.03
SpDis18,216.0,77.90,13.28,2.98,4.81,0.64,0.00,0.12,0.26,0.00,0.01
SpDis18,209.5,77.63,13.25,3.07,4.86,0.75,0.03,0.07,0.23,0.09,0.02
SpDis18,203.0,77.83,13.16,3.01,4.86,0.72,0.00,0.09,0.27,0.06,0.00
SpDis18,196.5,77.82,13.27,3.02,4.79,0.68,0.00,0.03,0.35,0.04,0.00
SpDis18,190.0,77.71,13.23,3.08,4.89,0.68,0.04,0.07,0.25,0.05,0.00
SpDis18,183.5,77.74,13.29,3.03,4.83,0.75,0.00,0.11,0.21,0.04,0.00
SpDis18,177.0,77.78,13.30,3.02,4.83,0.72,0.00,0.02,0.28,0.05,0.00
SpDis18,170.5,77.75,13.32,3.00,4.82,0.69,0.02,0.07,0.26,0.07,0.00
SpDis18,164.0,77.62,13.28,3.07,4.94,0.66,0.00,0.09,0.28,0.05,0.01
SpDis18,157.5,77.75,13.19,3.08,4.80,0.68,0.05,0.03,0.35,0.04,0.03
SpDis18,151.0,77.93,13.21,2.94,4.86,0.68,0.00,0.05,0.27,0.06,0.00
SpDis18,144.5,77.81,13.20,2.99,4.85,0.70,0.00,0.09,0.30,0.06,0.00
SpDis18,138.0,77.83,13.40,2.99,4.70,0.70,0.00,0.04,0.27,0.07,0.00
SpDis18,131.5,77.67,13.28,2.97,4.83,0.71,0.01,0.11,0.35,0.07,0.00
SpDis18,125.0,77.68,13.30,3.07,4.83,0.70,0.00,0.07,0.27,0.07,0.01
SpDis18,118.5,77.70,13.24,3.04,4.77,0.69,0.09,0.05,0.33,0.09,0.00
SpDis18,112.0,77.72,13.32,2.96,4.81,0.72,0.01,0.07,0.30,0.02,0.07
SpDis18,105.5,77.62,13.28,3.01,4.79,0.67,0.00,0.11,0.39,0.13,0.00
SpDis18,99.0,77.68,13.29,2.92,4.85,0.73,0.04,0.06,0.38,0.05,0.00
SpDis18,92.5,77.71,13.17,2.99,4.90,0.74,0.01,0.08,0.32,0.04,0.04
SpDis18,86.0,77.45,13.26,3.02,4.76,0.81,0.00,0.09,0.39,0.12,0.10
SpDis18,79.5,77.80,13.22,2.91,4.80,0.72,0.00,0.09,0.42,0.01,0.03
SpDis18,73.0,77.73,13.16,2.98,4.80,0.70,0.02,0.06,0.48,0.07,0.00
SpDis18,66.5,77.79,13.25,2.89,4.85,0.69,0.02,0.09,0.42,0.00,0.00
SpDis18,60.0,77.71,13.17,2.91,4.76,0.77,0.05,0.08,0.43,0.10,0.02
SpDis18,53.5,77.62,13.23,2.93,4.82,0.78,0.00,0.05,0.50,0.05,0.02
SpDis18,47.0,77.46,13.36,2.93,4.86,0.80,0.03,0.09,0.43,0.04,0.00
SpDis18,40.5,77.65,13.31,2.83,4.85,0.69,0.00,0.12,0.49,0.06,0.00
SpDis18,34.0,77.65,13.29,2.97,4.74,0.76,0.00,0.00,0.55,0.03,0.01
SpDis18,27.5,77.72,13.19,2.97,4.78,0.79,0.00,0.07,0.48,0.00,0.00
SpDis18,21.0,77.65,13.34,2.90,4.77,0.71,0.04,0.05,0.49,0.05,0.00
SpDis18,14.5,77.57,13.28,2.90,4.75,0.75,0.00,0.09,0.56,0.05,0.05
SpDis18,8.0,77.45,13.38,2.79,4.74,0.84,0.03,0.08,0.62,0.07,0.00
SpDis21,22.0,76.29,12.87,3.34,4.69,1.15,0.06,0.11,1.49,0.00,0.00
SpDis21,30.1,76.51,12.74,3.34,4.77,1.10,0.03,0.05,1.43,0.03,0.00
SpDis21,38.2,76.33,12.77,3.38,4.87,1.17,0.03,0.09,1.28,0.02,0.06
SpDis21,46.2,76.27,13.04,3.38,4.82,1.12,0.00,0.09,1.28,0.00,0.00
SpDis21,54.3,76.50,12.93,3.33,4.83,1.14,0.00,0.05,1.22,0.00,0.00
SpDis21,62.4,76.38,12.89,3.33,4.84,1.14,0.03,0.07,1.28,0.03,0.01
SpDis21,70.5,76.30,13.06,3.36,4.87,1.13,0.00,0.07,1.16,0.05,0.00
SpDis21,78.6,76.44,12.91,3.43,4.79,1.12,0.05,0.09,1.15,0.02,0.00
SpDis21,86.6,76.50,12.93,3.43,4.83,1.10,0.01,0.08,1.10,0.00,0.02
SpDis21,94.7,76.66,12.86,3.37,4.75,1.09,0.00,0.11,1.12,0.04,0.00
SpDis21,102.8,76.55,12.92,3.46,4.88,1.07,0.00,0.07,1.02,0.03,0.00
SpDis21,110.9,76.50,12.93,3.41,4.91,1.10,0.01,0.08,1.06,0.00,0.00
SpDis21,119.0,76.80,12.91,3.38,4.83,1.06,0.00,0.09,0.91,0.02,0.00
SpDis21,127.0,76.82,12.82,3.47,4.82,1.00,0.02,0.07,0.98,0.00,0.00
SpDis21,135.1,76.50,13.00,3.41,4.85,1.08,0.00,0.12,0.97,0.02,0.05
SpDis21,143.2,76.78,12.89,3.42,4.85,1.02,0.00,0.09,0.88,0.03,0.04
SpDis21,151.3,76.69,12.98,3.46,4.81,1.05,0.01,0.07,0.92,0.01,0.00
SpDis21,159.4,76.75,13.04,3.41,4.85,1.07,0.00,0.05,0.82,0.00,0.01
SpDis21,167.4,76.77,13.00,3.48,4.84,1.03,0.01,0.07,0.80,0.00,0.00
SpDis21,175.5,76.75,13.15,3.42,4.82,1.00,0.00,0.05,0.78,0.01,0.02
SpDis21,183.6,76.63,13.04,3.47,4.98,1.07,0.01,0.10,0.69,0.01,0.00
SpDis21,191.7,76.72,13.12,3.41,4.89,1.09,0.00,0.10,0.63,0.02,0.02
SpDis21,199.8,76.73,13.04,3.58,4.89,1.04,0.00,0.07,0.65,0.00,0.00
SpDis21,207.8,76.81,13.01,3.50,4.84,1.03,0.04,0.10,0.58,0.00,0.09
SpDis21,215.9,76.77,13.06,3.50,4.94,1.03,0.03,0.09,0.58,0.00,0.00
SpDis21,224.0,76.78,12.98,3.59,4.87,1.04,0.02,0.11,0.56,0.04,0.01
SpDis21,232.1,76.83,13.07,3.51,4.90,1.02,0.01,0.06,0.57,0.00,0.03
SpDis21,240.2,76.90,13.00,3.54,4.89,1.03,0.00,0.09,0.55,0.00,0.00
SpDis21,248.2,76.75,13.06,3.58,4.83,1.05,0.03,0.12,0.58,0.00,0.00
SpDis21,256.3,76.94,13.13,3.56,4.85,1.03,0.00,0.06,0.43,0.00,0.00
SpDis21,264.4,76.75,13.12,3.58,4.85,1.04,0.01,0.09,0.49,0.03,0.04
SpDis21,272.5,76.81,13.21,3.56,4.94,1.00,0.03,0.02,0.42,0.01,0.00
SpDis21,280.6,76.86,13.11,3.58,4.90,1.00,0.00,0.07,0.48,0.00,0.00
SpDis21,288.6,76.90,13.15,3.65,4.85,0.97,0.05,0.11,0.32,0.00,0.00
SpDis21,296.7,76.68,13.31,3.64,4.91,0.97,0.00,0.09,0.39,0.01,0.00
SpDis21,304.8,76.64,13.14,3.64,4.92,1.03,0.01,0.10,0.40,0.02,0.10
SpDis21,312.9,76.80,13.27,3.65,4.87,0.99,0.00,0.04,0.38,0.00,0.00
SpDis21,321.0,76.95,13.13,3.60,4.89,1.01,0.00,0.09,0.33,0.00,0.00
SpDis21,329.0,77.03,13.16,3.58,4.87,0.96,0.00,0.07,0.33,0.00,0.00
SpDis21,337.1,76.93,13.13,3.56,4.92,1.04,0.01,0.07,0.29,0.02,0.03
SpDis21,345.2,76.93,13.25,3.58,4.93,0.99,0.01,0.02,0.29,0.00,0.00
SpDis21,353.3,76.86,13.14,3.61,4.88,1.07,0.00,0.07,0.34,0.00,0.03
SpDis21,361.4,76.95,13.14,3.61,4.88,1.03,0.00,0.05,0.27,0.04,0.03
SpDis21,369.4,76.90,13.13,3.68,4.93,0.95,0.06,0.02,0.30,0.03,0.00
SpDis21,377.5,76.86,13.21,3.62,4.93,1.02,0.03,0.06,0.26,0.00,0.01
SpDis21,385.6,76.76,13.19,3.68,4.87,1.02,0.04,0.07,0.27,0.05,0.05
SpDis21,393.7,76.84,13.18,3.65,4.89,1.04,0.04,0.04,0.26,0.04,0.02
SpDis21,401.8,76.89,13.13,3.69,4.95,0.97,0.03,0.09,0.25,0.00,0.00
SpDis21,409.8,76.91,13.16,3.63,4.92,1.05,0.02,0.03,0.26,0.02,0.00
SpDis21,417.9,76.91,13.33,3.54,4.93,0.99,0.02,0.04,0.24,0.00,0.00
