Expt,x,SiO2,Al2O3,Na2O,K2O,CaO,TiO2
SpDis2,405.5,76.65,13.09,2.65,4.47,2.86,0.09
SpDis2,413.1,76.63,13.03,2.62,4.53,2.84,0.1
SpDis2,420.7,76.63,13.14,2.62,4.49,2.85,0.13
SpDis2,428.3,76.81,12.98,2.59,4.52,2.78,0.12
SpDis2,435.8,76.65,13.14,2.58,4.55,2.77,0.16
SpDis2,443.4,76.44,13.27,2.61,4.56,2.8,0.16
SpDis4,0,74.28,12.74,2.89,4.46,2.86,2.68
SpDis4,17.8,74.16,12.62,2.93,4.5,2.82,2.82
SpDis4,35.6,74.28,12.69,2.75,4.4,2.9,2.84
SpDis4,53.4,74.01,12.7,2.93,4.45,2.94,2.92
SpDis4,71.2,74.15,12.53,2.84,4.41,2.9,3.03
SpDis4,89,74.2,12.55,2.82,4.41,2.94,2.93
SpDis4,106.8,74.14,12.65,2.85,4.43,2.91,2.92
SpDis4,124.6,74.22,12.58,2.86,4.48,2.87,2.91
SpDis4,142.4,74.36,12.61,2.7,4.37,2.87,2.89
SpDis4,160.2,74.37,12.64,2.8,4.36,2.9,2.78
SpDis4,178,74.63,12.56,2.78,4.38,2.78,2.74
SpDis4,195.8,74.6,12.52,2.85,4.49,2.87,2.52
SpDis4,213.6,74.84,12.64,2.82,4.43,2.72,2.46
SpDis4,231.4,74.91,12.61,2.79,4.49,2.76,2.35
SpDis4,249.2,74.98,12.71,2.81,4.48,2.72,2.26
SpDis4,267,75.02,12.68,2.86,4.45,2.72,2.18
SpDis4,284.8,75,12.58,2.97,4.52,2.79,2.1
SpDis4,302.6,75.23,12.67,2.89,4.52,2.7,1.92
SpDis4,320.4,75.35,12.68,2.88,4.48,2.65,1.82
SpDis4,338.2,75.14,12.76,3.02,4.53,2.63,1.78
SpDis4,356,75.42,12.68,2.87,4.53,2.66,1.69
SpDis4,373.8,75.39,12.79,2.94,4.54,2.57,1.65
SpDis4,391.6,75.65,12.69,2.91,4.6,2.58,1.45
SpDis4,409.4,75.78,12.79,2.98,4.5,2.55,1.29
SpDis4,427.2,75.63,12.89,2.96,4.48,2.59,1.3
SpDis4,445,75.86,12.88,2.93,4.53,2.47,1.24
SpDis4,462.8,75.9,12.93,2.97,4.47,2.52,1.12
SpDis4,480.6,75.93,12.78,2.93,4.6,2.55,1.1
SpDis4,498.4,75.87,12.92,3.06,4.56,2.53,1.01
SpDis4,516.2,75.96,12.88,2.9,4.65,2.51,0.98
SpDis4,534,76.04,12.92,3,4.56,2.5,0.93
SpDis4,551.8,75.95,12.96,3.04,4.58,2.47,0.91
SpDis4,569.6,76.05,12.95,3.01,4.56,2.47,0.81
SpDis4,587.4,76.16,12.9,2.99,4.56,2.53,0.84
SpDis4,605.2,76.19,12.92,2.97,4.54,2.5,0.78
SpDis4,623,76.18,12.92,3.03,4.58,2.5,0.74
SpDis4,640.8,75.99,12.9,3.04,4.6,2.55,0.82
SpDis4,658.6,76.1,13.06,2.98,4.55,2.46,0.7
SpDis4,676.4,76.09,12.91,3.02,4.58,2.54,0.76
SpDis4,694.2,76.07,12.96,3.07,4.56,2.58,0.73
SpDis4,712,76,12.95,3.07,4.58,2.49,0.77
SpDis4,729.8,76.12,12.95,3.05,4.52,2.59,0.73
SpDis4,747.6,75.95,13.06,3.01,4.59,2.58,0.73
SpDis4,765.4,75.95,13.07,3.03,4.53,2.51,0.75
SpDis4,783.2,75.98,12.91,2.95,4.61,2.56,0.82
SpDis4,801,76.19,12.89,3.01,4.53,2.52,0.82
SpDis4,818.8,76.07,12.87,3.01,4.57,2.53,0.81
SpDis4,836.6,76.15,12.91,2.98,4.51,2.57,0.84
SpDis4,854.4,75.93,12.97,2.92,4.54,2.63,0.89
SpDis4,872.2,75.79,13.04,2.99,4.49,2.58,0.92
SpDis16,6.7,76.15,13.14,2.41,4.18,2.41,1.5
SpDis16,18.2,76.53,13.04,2.28,4.26,2.42,1.36
SpDis16,29.7,76.36,13.09,2.22,4.33,2.44,1.39
SpDis16,41.2,76.43,13.1,2.28,4.29,2.37,1.36
SpDis16,52.7,76.37,13.16,2.24,4.26,2.42,1.42
SpDis16,64.2,76.44,13.11,2.23,4.25,2.44,1.34
SpDis16,75.7,76.44,13.09,2.27,4.24,2.35,1.37
SpDis16,87.2,76.69,13.06,2.19,4.25,2.37,1.26
SpDis16,98.7,76.38,13.11,2.25,4.25,2.4,1.36
SpDis16,110.2,76.41,13.16,2.23,4.29,2.37,1.34
SpDis16,121.7,76.54,13.12,2.27,4.26,2.37,1.33
SpDis16,133.2,76.49,13.12,2.32,4.28,2.33,1.32
SpDis16,144.7,76.62,13.15,2.19,4.18,2.41,1.36
SpDis16,156.2,76.59,13.03,2.26,4.26,2.35,1.35
SpDis16,167.7,76.45,13.1,2.28,4.27,2.4,1.29
SpDis16,179.2,76.53,13.12,2.3,4.27,2.33,1.31
SpDis16,190.7,76.63,13.03,2.3,4.25,2.31,1.3
SpDis16,202.2,76.72,13.07,2.26,4.24,2.35,1.27
SpDis16,213.7,76.13,13.28,2.38,4.26,2.45,1.33
SpDis16,225.2,76.48,13.15,2.17,4.3,2.38,1.32
SpDis16,236.7,76.59,13.21,2.25,4.19,2.34,1.33
SpDis16,248.2,76.32,13.24,2.32,4.24,2.36,1.39
SpDis16,259.7,76.41,13.05,2.25,4.36,2.38,1.38
SpDis16,271.2,76.51,13.14,2.26,4.24,2.4,1.32
SpDis16,282.7,76.59,13.2,2.19,4.28,2.37,1.26
SpDis16,294.2,76.41,13.14,2.3,4.29,2.37,1.29
SpDis16,305.7,76.54,13.08,2.3,4.31,2.34,1.29
SpDis16,317.2,76.33,13.23,2.3,4.27,2.35,1.31
SpDis16,328.7,76.54,13.08,2.26,4.26,2.37,1.3
SpDis16,340.2,76.55,13.13,2.22,4.24,2.39,1.33
SpDis16,351.7,76.55,13.07,2.31,4.3,2.35,1.26
SpDis16,363.2,76.36,13.08,2.29,4.33,2.36,1.36
SpDis16,374.7,76.4,13.21,2.34,4.26,2.28,1.35
SpDis16,386.2,76.59,13.04,2.31,4.24,2.39,1.3
SpDis16,397.7,76.45,13.08,2.25,4.32,2.36,1.38
SpDis16,409.2,76.46,13.05,2.33,4.25,2.36,1.34
SpDis16,420.7,76.43,13.19,2.26,4.26,2.33,1.29
SpDis16,432.2,76.41,13.22,2.23,4.17,2.44,1.37
SpDis16,443.7,76.36,13.23,2.21,4.32,2.32,1.35
SpDis16,455.2,76.49,13.14,2.27,4.26,2.39,1.3
SpDis16,466.7,76.81,13.16,2.11,4.11,2.41,1.3
SpDis16,478.2,76.51,13.2,2.15,4.33,2.31,1.31
SpDis16,489.7,76.45,13.19,2.32,4.24,2.34,1.31
SpDis16,501.2,76.45,13.19,2.21,4.29,2.39,1.29
SpDis16,512.7,76.48,13.28,2.23,4.24,2.41,1.3
SpDis16,524.2,76.47,13.27,2.22,4.23,2.33,1.31
SpDis16,535.7,76.64,13.19,2.22,4.27,2.3,1.28
SpDis16,547.2,76.64,13.25,2.13,4.17,2.4,1.27
SpDis16,558.7,76.37,13.17,2.4,4.24,2.4,1.32
SpDis16,570.2,76.72,13.15,2.16,4.25,2.39,1.2
