,Expt,Oxide,Slope,c0
0,3,SiO2,-0.00042574567636104795,62.6626690975636
1,3,Al2O3,-0.000735785665803722,9.38152354137081
2,3,Na2O,-0.0003044522075729732,2.6245606341400256
3,3,K2O,-0.000989342968963029,3.1439893502783596
4,3,CaO,0.001536151714720247,9.306656661917698
5,3,TiO2,0.002244225334883951,13.469411929522712
6,7,SiO2,-2.772019656821022e-05,76.10733104963542
7,7,Al2O3,-0.00012851831328023218,12.91113808954305
8,7,Na2O,-0.00021305911618255723,3.464872822825748
9,7,K2O,-0.00014497985970469263,4.591283921252332
10,7,CaO,0.0007631828608661543,1.0347193396475065
11,7,TiO2,0.006399716312917463,1.2819819933388872
12,10,SiO2,-2.2682792781695127e-05,75.99776490308507
13,10,Al2O3,-3.1413800855923867e-05,12.889565175491702
14,10,Na2O,-0.0001044875730040053,2.3269171270663422
15,10,K2O,-5.440111289235011e-05,4.220227713246308
16,10,CaO,0.0002021712014396457,2.0708279677369776
17,10,TiO2,0.0010538141864044422,2.4382332374644506
18,11,SiO2,-1.1078618849613835e-05,75.38631778338767
19,11,Al2O3,-2.4421565197549164e-06,12.647267297440044
20,11,Na2O,4.785111282129684e-05,2.30698521952053
21,11,K2O,-9.60947002163681e-07,4.426274112737935
22,11,CaO,5.931555278422891e-05,2.452204028763449
23,11,TiO2,0.0002414537928160564,2.6744481668222226
24,13,SiO2,-7.667449547253074e-05,74.73843278209795
25,13,Al2O3,-0.00020357382041578628,12.392916093537794
26,13,Na2O,-0.0001519159784491,3.55542910283514
27,13,K2O,-0.0001295200766906523,4.64294799471714
28,13,CaO,0.0007147551325336276,1.7838901454203595
29,13,TiO2,0.004171840141251981,3.224110272198142
30,15,SiO2,-4.564844211076451e-05,72.2357916662003
31,15,Al2O3,-7.989230678809618e-05,11.818389643509878
32,15,Na2O,-0.00017285457495044417,2.73526045239828
33,15,K2O,-8.689700263767275e-05,4.230216977840637
34,15,CaO,0.0003101955859846,4.011789778433911
35,15,TiO2,0.0007997176289379769,4.84944737935352
36,17,SiO2,-3.682271253341365e-07,77.86391034099853
37,17,Al2O3,-3.70652368269185e-05,13.116635664352362
38,17,Na2O,-0.00023629172646026482,2.415327599223781
39,17,K2O,-6.281368970837014e-05,4.561902432823095
40,17,CaO,0.0001748827678469629,0.9964329003289195
41,17,TiO2,0.0014326279043194057,0.9188180118348227
42,18,SiO2,-1.205315837360463e-05,77.58444028810187
43,18,Al2O3,5.415117052593817e-06,13.275294119566588
44,18,Na2O,-0.0002861071712855528,2.875465386218335
45,18,K2O,-6.714347812318013e-05,4.775340842093359
46,18,CaO,0.0005630877523610149,0.7738338502851622
47,18,TiO2,0.002982319326848926,0.5634999400934017
48,21,SiO2,-1.5705594716374772e-05,76.42429252384976
49,21,Al2O3,-6.687110129085811e-05,12.841690997667863
50,21,Na2O,-0.00022545515334181256,3.325777212030042
51,21,K2O,-5.494095256789234e-05,4.803109467093862
52,21,CaO,0.0002709322571061357,1.1214452966545265
53,21,TiO2,0.0026511282251958286,1.501908337896028
