"","Source","Expt","M","TK","TiO2","TiO2sat","TiO2satSD"
"1","LEPR","1044A",2.35639362899353,1273.15,2.32,2.28205938607663,0.00392731033606644
"2","LEPR","1044BA",2.70674304064559,1273.15,2.85,2.47720407004776,0.00392731033606644
"3","LEPR","1044T",2.06440450132453,1273.15,1.73,2.10777435767924,0.00392731033606644
"4","LEPR","1045A",2.09859718586393,1273.15,1.9,2.07409926842179,0.00392731033606644
"5","LEPR","1045BA",2.53668652912107,1273.15,2.7,2.32164268680048,0.00392731033606644
"6","LEPR","1045T",2.06290545247332,1273.15,1.61,2.10640636226311,0.00392731033606644
"7","LEPR","1046A",1.88303657655365,1223.15,1.45,1.63903416686803,0.00392731033606644
"8","LEPR","1046BA",2.15248677535033,1223.15,1.68,1.76591717465481,0.00392731033606644
"9","LEPR","1046T",1.91975489532261,1223.15,1.31,1.72580467064072,0.00392731033606644
"10","LEPR","1056A",2.44057944440272,1273.15,2.17,2.38459797550452,0.00392731033606644
"11","LEPR","1056BA",2.7688520304716,1273.15,2.74,2.60357679213672,0.00392731033606644
"12","LEPR","1056T",2.02993187447509,1273.15,1.81,2.08655080845648,0.00392731033606644
"13","LEPR","ASI220",7.18369801408545,1423.15,8.2,7.93763463954119,0.00392731033606644
"14","LEPR","ASI240",3.75394692822262,1423.15,4.33,4.50753074933453,0.00392731033606644
"15","LEPR","ASI250",2.81476717815479,1423.15,2.97,3.56075344915377,0.00392731033606644
"16","LEPR","ASI260",2.39001645300302,1423.15,3.02,3.11246074415881,0.00392731033606644
"17","LEPR","ASI280",2.42591852426158,1423.15,4.27,3.07005875449179,0.00392731033606644
"18","LEPR","HL220-100",7.62128985672643,1423.15,8.74,8.39682505085884,0.00392731033606644
"19","LEPR","HL220-1500",7.50634810586745,1423.15,8.59,8.2759963216178,0.00392731033606644
"20","LEPR","HL220-15000",7.58598431607379,1423.15,8.3,8.19853344579847,0.00392731033606644
"21","LEPR","HL220-25",7.41621352960765,1423.15,8.64,8.18291774573721,0.00392731033606644
"22","LEPR","HL220-250",8.02995532383161,1423.15,9.12,8.79082574300937,0.00392731033606644
"23","LEPR","HL220-2500",7.54590310268409,1423.15,8.59,8.31298677961982,0.00392731033606644
"24","LEPR","HL220-40000",7.54378222181748,1423.15,7.64,8.04388677917429,0.00392731033606644
"25","LEPR","HL220-50",7.82341700698094,1423.15,8.86,8.58606706913435,0.00392731033606644
"26","LEPR","HL220-5000",7.20509519230984,1423.15,8.08,7.9413854830721,0.00392731033606644
"27","LEPR","HL220-60000",8.63624408306241,1423.15,7.11,8.80852477854201,0.00392731033606644
"28","LEPR","HL220-75000",8.08460961040628,1423.15,7.21,8.32350093495625,0.00392731033606644
"29","LEPR","HL220-without",7.23294525229964,1423.15,8.47,7.99914629431777,0.00392731033606644
"30","LEPR","HL22REE-200",6.9406015666547,1423.15,8.48,7.65032607600231,0.00392731033606644
"31","LEPR","HL22REE-2000",7.21482984441888,1423.15,8.14,7.81655828537593,0.00392731033606644
"32","LEPR","HL22REE-8000",7.60296248021042,1423.15,7.5,7.82085284082638,0.00392731033606644
"33","LEPR","HL240-100",3.36993405064664,1423.15,3.88,4.13852449577305,0.00392731033606644
"34","LEPR","HL240-2000",3.22491245973706,1423.15,3.55,4.00960247342307,0.00392731033606644
"35","LEPR","HL240-20000",3.79019818401869,1423.15,3.96,4.54145848065043,0.00392731033606644
"36","LEPR","HL240-250",3.40516467071839,1423.15,3.94,4.17976074046473,0.00392731033606644
"37","LEPR","HL240-45000",4.10165640652614,1423.15,4.16,4.78611187289103,0.00392731033606644
"38","LEPR","HL240-500",3.171521756215,1423.15,3.45,3.96057858359107,0.00392731033606644
"39","LEPR","HL240-5000",3.2062707429509,1423.15,3.83,3.98775875348838,0.00392731033606644
"40","Dissolution","SpDis_10",1.30677302905387,1373.15,2.4,2.18662222756005,0.00392731033606644
"41","Dissolution","SpDis_11",1.43800367667174,1373.15,2.65,2.3033042317961,0.00392731033606644
"42","Dissolution","SpDis_12",1.72403934726266,1473.15,3.74,3.04579816017649,0.00392731033606644
"43","Dissolution","SpDis_13",1.61778904905413,1473.15,3.25,2.95985868750704,0.00392731033606644
"44","Dissolution","SpDis_15",2.6097979159331,1473.15,5.25,3.83283965581154,0.00392731033606644
"45","Dissolution","SpDis_16",1.34282471642938,1273.15,1.4,1.71522653328475,0.00392731033606644
"46","Dissolution","SpDis_17",1.44575921795521,1273.15,0.81,1.78109328787639,0.00392731033606644
"47","Dissolution","SpDis_18",1.05438068655879,1198.15,0.55,1.06881638441983,0.00392731033606644
"48","Dissolution","SpDis_21",1.38602089219208,1273.15,1.48,1.74234221556593,0.00392731033606644
"49","Dissolution","SpDis_4",1.63926958139836,1573.15,2.83,3.49739618620045,0.00392731033606644
"50","Dissolution","SpDis_7",1.36678298130149,1373.15,1.31,2.23014911197339,0.00392731033606644
"51","Growth","SpG_10",1.67780841612695,1273.15,3.03,1.96843459515328,0.00392731033606644
"52","Growth","SpG_11",1.47868552073438,1073.15,0.54,0.773366503732633,0.00392731033606644
"53","Growth","SpG_12",1.64765587425282,1073.15,1.29,0.87888585748813,0.00392731033606644
"54","Growth","SpG_15",1.30177606010419,1073.15,0.32,0.582256865081699,0.00392731033606644
"55","Growth","SpG_16",1.36996708795558,1073.15,0.33,0.571545949606803,0.00392731033606644
"56","Growth","SpG_17",1.72900032070277,1173.15,2.04,1.40713576899214,0.00392731033606644
"57","Growth","SpG_18",1.96896159042172,1173.15,2.36,1.56134337348881,0.00392731033606644
